发生日期,基金编号,基金名称,证券代码,证券名称,委托方向,成交数量,成交金额,成交次数,成交均价,成交最低价,成交最高价,市场成交均价,最新价,数量成交比例(%),持仓,市场成交金额,成交均价(全价),交易市场,市场成交数量,组合编号,组合名称,委托数量,市场最高价,市场最低价,委托次数,交易员,资产类别,涨跌幅(%),金额成交比例(%),价格差额比例(%),指令数量,资产单元序号,资产单元名称,币种,交易席位,投资类型,资产单元编号,股东代码,成交量占昨日持仓量(%),指令下达人,本币币种,本币成交金额,指令操作级别,账户组类型,账户组,成交金额占净值(%),券商编号,券商名称,业务分类
2012-10-29,1,德邦优化配置,204001,   GC001,融券回购,3000000,300000000,82,6.277885,5.06,7,100,3.555,0.1915,0,1.56628E+11,6.277885,上交所A,1566277000,10000000,缺省组合,3902000,8.33,3.415,56,混合,非资产,-48.8489,0.1915,93.7221,3000000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,300000000,无, , ,92.6558,,,交易所业务
2012-10-31,1,德邦优化配置,110011,歌华转债,债券买入,50000,4668499.8,38,93.369996,93.26,93.48,93.37,93.39,96.7118,50000,4827015,93.369996,上交所A,51700,10000000,缺省组合,50000,93.48,93.1,18,季慧娟,债券资产,0.0857,96.7161,-0.0044,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,4668499.8,无, , ,2.4686,,,交易所业务
2012-10-31,1,德邦优化配置,110015,石化转债,债券买入,50000,4887914.4,19,97.758288,97.51,97.77,97.65,97.68,10.9922,50000,44416173,97.758288,上交所A,454870,10000000,缺省组合,50000,97.77,97.49,8,季慧娟,债券资产,0.0102,11.0048,-0.1151,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,4887914.4,无, , ,2.5847,,,交易所业务
2012-10-31,1,德邦优化配置,110018,国电转债,债券买入,30510,3204565.5,13,105.0332842,105,105.1,105.19,105.3,11.9068,30510,26953440,105.0332842,上交所A,256240,10000000,缺省组合,37000,105.34,104,17,季慧娟,债券资产,0.2857,11.8893,0.1474,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3204565.5,无, , ,1.6945,,,交易所业务
2012-10-31,1,德邦优化配置,113003,重工转债,债券买入,30000,3054344.7,9,101.81149,101.75,101.94,101.83,101.81,8.6242,30000,35423892,101.81149,上交所A,347860,10000000,缺省组合,30000,102.15,101.7,10,季慧娟,债券资产,-0.1275,8.6223,0.0219,30000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3054344.7,无, , ,1.6151,,,交易所业务
2012-10-31,1,德邦优化配置,122093,11中孚债,债券买入,50000,5050000,1,101,101,101,100.95,100.9,14.7349,50000,34253719,102.28,上交所A,339330,10000000,缺省组合,50000,101.03,100.88,2,罗韵峰,债券资产,-0.0693,14.7429,-0.0543,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,5050000,无, , ,2.6704,,,交易所业务
2012-10-31,1,德邦优化配置,122181,12山鹰债,债券买入,30000,3048714.6,46,101.62382,101.54,101.74,101.6,101.58,78.6988,30000,3872865,103.0827241,上交所A,38120,10000000,缺省组合,30000,101.76,101.02,5,罗韵峰,债券资产,0.138,78.7199,-0.0267,30000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3048714.6,无, , ,1.6121,,,交易所业务
2012-10-31,1,德邦优化配置,122601,12白山债,债券买入,50000,5064126,51,101.28252,101.17,101.44,101.26,101.42,47.5511,50000,10647843,103.0660816,上交所A,105150,10000000,缺省组合,50000,101.44,101.12,37,季慧娟,债券资产,0.2669,47.5601,-0.0189,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,5064126,无, , ,2.6778,,,交易所业务
2012-10-31,1,德邦优化配置,122643,12海资债,债券买入,30000,3149043.6,25,104.96812,104.82,105,104.94,105,28.2752,30000,11134237,108.7684762,上交所A,106100,10000000,缺省组合,30000,105,104.7,2,罗韵峰,债券资产,0.2387,28.2825,-0.0258,30000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3149043.6,无, , ,1.6652,,,交易所业务
2012-10-31,1,德邦优化配置,122694,12兴荣债,债券买入,30000,3189670.6,14,106.3223533,106.24,106.35,106.2,106.19,23.9196,30000,13320151,110.806189,上交所A,125420,10000000,缺省组合,30000,106.35,105.9,2,罗韵峰,债券资产,0.0754,23.9462,-0.1111,30000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3189670.6,无, , ,1.6867,,,交易所业务
2012-10-31,1,德邦优化配置,122757,11丹东债,债券买入,50000,5126802.5,71,102.53605,102.41,102.6,102.54,102.57,30.1477,50000,17005848,109.906187,上交所A,165850,10000000,缺省组合,50000,102.6,102.35,26,季慧娟,债券资产,0.1856,30.1473,0.0014,50000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,5126802.5,无, , ,2.7110,,,交易所业务
